uid,event,ioi,period,pulses
58b0a27a9a4173c5-0,26,1,18,9
58b0a27a9a4173c5-0,27,6,18,9
58b0a27a9a4173c5-0,28,6,18,9
df1b57f88f090cf2-0,0,4,20,10
df1b57f88f090cf2-0,1,2,20,10
df1b57f88f090cf2-0,2,2,20,10
df1b57f88f090cf2-0,3,2,20,10
df1b57f88f090cf2-0,4,2,20,10
df1b57f88f090cf2-0,5,2,20,10
df1b57f88f090cf2-0,6,2,20,10
df1b57f88f090cf2-0,7,2,20,10
df1b57f88f090cf2-0,8,2,20,10
df1b57f88f090cf2-0,9,2,20,10
df1b57f88f090cf2-0,10,2,20,10
df1b57f88f090cf2-0,11,2,20,10
df1b57f88f090cf2-0,12,2,20,10
df1b57f88f090cf2-0,13,2,20,10
df1b57f88f090cf2-0,14,2,20,10
df1b57f88f090cf2-0,15,2,20,10
df1b57f88f090cf2-0,16,6,20,10
df1b57f88f090cf2-0,17,4,20,10
df1b57f88f090cf2-0,18,2,20,10
df1b57f88f090cf2-0,19,2,20,10
df1b57f88f090cf2-0,20,2,20,10
df1b57f88f090cf2-0,21,2,20,10
df1b57f88f090cf2-0,22,2,20,10
df1b57f88f090cf2-0,23,2,20,10
df1b57f88f090cf2-0,24,2,20,10
df1b57f88f090cf2-0,25,2,20,10
df1b57f88f090cf2-0,26,2,20,10
df1b57f88f090cf2-0,27,2,20,10
df1b57f88f090cf2-0,28,2,20,10
3d17fd3e207fe9c6-2,0,4,20,10
3d17fd3e207fe9c6-2,1,2,20,10
3d17fd3e207fe9c6-2,2,2,20,10
3d17fd3e207fe9c6-2,3,1,20,10
3d17fd3e207fe9c6-2,4,1,20,10
3d17fd3e207fe9c6-2,5,2,20,10
3d17fd3e207fe9c6-2,6,1,20,10
3d17fd3e207fe9c6-2,7,1,20,10
3d17fd3e207fe9c6-2,8,1,20,10
3d17fd3e207fe9c6-2,9,1,20,10
3d17fd3e207fe9c6-2,10,4,20,10
3d17fd3e207fe9c6-2,11,4,20,10
3d17fd3e207fe9c6-2,12,1,20,10
3d17fd3e207fe9c6-2,13,1,20,10
3d17fd3e207fe9c6-2,14,1,20,10
3d17fd3e207fe9c6-2,15,1,20,10
3d17fd3e207fe9c6-2,16,1,20,10
3d17fd3e207fe9c6-2,17,1,20,10
3d17fd3e207fe9c6-2,18,1,20,10
3d17fd3e207fe9c6-2,19,1,20,10
3d17fd3e207fe9c6-2,20,1,20,10
3d17fd3e207fe9c6-2,21,1,20,10
3d17fd3e207fe9c6-2,22,6,20,10
3d17fd3e207fe9c6-2,23,4,20,10
3d17fd3e207fe9c6-2,24,1,20,10
3d17fd3e207fe9c6-2,25,1,20,10
